word|Sub|emotion
abandonado|Decepcionado|Tristeza
abandonar|Agobiado|Tristeza
abogado|Seguridad|Confianza
absoluto|Entusiasmado|Alegría
absurdo|Desafortunado|Enfado
abuso|molesto|Enfado
accidente|Aterrado|Miedo
acelerar|Admiración|Sorpresa
aceptable|Encantado|Alegría
aceptación|Encantado|Alegría
aceptando|Fascinado|Alegría
aclarar|Seguridad|Confianza
aconsejable|Fe|Confianza
acuerdo|Franqueza|Confianza
adecuado|Esperanza|Confianza
admisible|Esperanza|Confianza
adquirir|Encantado|Alegría
advertencia|Angustiado|Miedo
advertir|Determinación|Confianza
afán|Extrañeza|Sorpresa
afectaban|Molestia|Enfado
afectaciones|Molestia|Enfado
afectada|Molestia|Enfado
afectadas|Molestia|Enfado
afectado|Molestia|Enfado
afectan|Molestia|Enfado
afectando|Molestia|Enfado
afectar|Molestia|Enfado
afectara|Molestia|Enfado
afectará|Molestia|Enfado
afectaran|Molestia|Enfado
afectaría|Molestia|Enfado
afectaríamos|Molestia|Enfado
afectarían|Molestia|Enfado
afectarlo|Molestia|Enfado
afectaron|Molestia|Enfado
afectarse|Molestia|Enfado
afecten|Molestia|Enfado
afirmación|Encantado|Alegría
afirmar|Franqueza|Confianza
ágil|Entusiasmado|Alegría
agilicen|Molesto|Enfado
agilidad|Tranquilo|Alegría
agilizaran|Molesto|Enfado
agilizarla|Molesto|Enfado
ágilmente|Molesto|Enfado
agotado|Desafortunado|Enfado
agotamiento|Desfavorable|Enfado
agradeceré|Confiado|Alegría
agradeceriamos|Confiado|Alegría
agradeceríamos|Confiado|Alegría
agradecerle|Confiado|Alegría
agradecido|Complacido|Alegría
agradeciendo|Confiado|Alegría
agradecimiento|Confiado|Alegría
agraecemos|Confiado|Alegría
agresivo|Furioso|Enfado
agrietado|Perjudicial|Enfado
agrietamiento|Perjudicial|Enfado
ahorra|Seguridad|Confianza
ahorraba|Seguridad|Confianza
ahorradora|Seguridad|Confianza
ahorradores|Seguridad|Confianza
ahorramos|Seguridad|Confianza
ahorrando|Seguridad|Confianza
ahorraran|Seguridad|Confianza
ahorro|Determinación|Confianza
ahorró|Seguridad|Confianza
ahorros|Tranquilo|Alegría
ahorrro|Seguridad|Confianza
aislar|Apenado|Tristeza
ajusta|Molesto|Enfado
ajustan|Molesto|Enfado
ajustándolo|Molesto|Enfado
ajustándolos|Molesto|Enfado
ajustándose|Molesto|Enfado
ajustara|Molesto|Enfado
ajustará|Molesto|Enfado
ajustarán|Molesto|Enfado
ajustarla|Molesto|Enfado
ajustarlas|Molesto|Enfado
ajustarlo|Molesto|Enfado
ajustarse|Molesto|Enfado
alegre|Contento|Alegría
alegría|Animado|Alegría
alejado|Perjudicial|Enfado
alertas|Impresión|Sorpresa
aliviar|Complacido|Alegría
altercado|Perjudicial|Enfado
amabilidad|Fe|Confianza
amable|Confiado|Alegría
amenaza|Aterrado|Miedo
amenazante|Agresivo|Enfado
amenazar|Inseguro|Miedo
angustia|Impotente|Tristeza
ánimo|Entusiasmado|Alegría
anomalía|Confusión|Sorpresa
anónimo|Perjudicial|Enfado
anormal|Molestia|Enfado
anticipación|Asombro|Sorpresa
anulación|Desafortunado|Enfado
anular|Desfavorable|Enfado
apelación|Admiración|Sorpresa
aplazamiento|Adverso|Enfado
aplazar|Desafortunado|Enfado
apoyo|Esperanza|Confianza
aprobación|Franqueza|Confianza
aprobar|Seguridad|Confianza
apropiado|Fascinado|Alegría
argumentos|irritado|Enfado
arregla|Molestia|Enfado
arreglaán|Molestia|Enfado
arreglada|Molestia|Enfado
arreglado|Molestia|Enfado
arreglan|Molestia|Enfado
arreglando|Molestia|Enfado
arreglar|Molestia|Enfado
arreglara|Molestia|Enfado
arreglaran|Molestia|Enfado
arreglarán|Molestia|Enfado
arreglarla|Molestia|Enfado
arreglarlas|Molestia|Enfado
arreglaron|Molestia|Enfado
arregle|Molestia|Enfado
arreglen|Molestia|Enfado
arreglo|Molestia|Enfado
arreglos|Molestia|Enfado
asegura|Impotente|Tristeza
asegurada|Impotente|Tristeza
aseguradas|Impotente|Tristeza
asegurado|Impotente|Tristeza
aseguradora|Impotente|Tristeza
asegurados|Impotente|Tristeza
aseguramiento|Impotente|Tristeza
aseguran|Impotente|Tristeza
asegurando|Impotente|Tristeza
asegurándola|Impotente|Tristeza
asegurándole|Impotente|Tristeza
asegurándolo|Impotente|Tristeza
asegurar|Impotente|Tristeza
asegurara|Impotente|Tristeza
asegurará|Impotente|Tristeza
aseguraremos|Impotente|Tristeza
asegurarla|Impotente|Tristeza
asegurarlas|Impotente|Tristeza
asegurarlo|Impotente|Tristeza
asegurarme|Impotente|Tristeza
asegurarnos|Impotente|Tristeza
aseguras|Impotente|Tristeza
asegure|Impotente|Tristeza
